country,africa,lat_abst,protection,logGDP,logsettlermortality,gdppc
"AGO",1,.1366667,5.363636,7.770645,5.634789,2370
"ARG",0,.3777778,6.386364,9.133459,4.232656,9259.998
"AUS",0,.3,9.318182,9.897972,2.145931,19889.99
"BFA",1,.1444445,4.454545,6.84588,5.634789,940.0001
"BGD",0,.2666667,5.136364,6.877296,4.268438,969.9999
"BHS",0,.2683333,7.5,9.285448,4.442651,10780
"BOL",0,.1888889,5.636364,7.926602,4.26268,2769.999
"BRA",0,.1111111,7.909091,8.727454,4.26268,6170
"CAN",0,.6666667,9.727273,9.986449,2.778819,21730
"CHL",0,.3333333,7.818182,9.336092,4.232656,11340
"CIV",1,.0888889,7,7.444249,6.504288,1710
"CMR",1,.0666667,6.454545,7.501082,5.634789,1810
"COG",1,.0111111,4.681818,7.420579,5.480639,1670
"COL",0,.0444444,7.318182,8.809863,4.26268,6700.002
"CRI",0,.1111111,7.045455,8.794825,4.35799,6599.998
"DOM",0,.2111111,6.181818,8.364042,4.867535,4290.001
"DZA",1,.3111111,6.5,8.389359,4.35927,4399.999
"ECU",0,.0222222,6.545455,8.470101,4.26268,4769.999
"EGY",1,.3,6.772727,7.95156,4.216562,2840
"ETH",1,.0888889,5.727273,6.109248,3.258096,450
"GAB",1,.0111111,7.818182,8.907883,5.634789,7389.998
"GHA",1,.0888889,6.272727,7.36518,6.504288,1580
"GIN",1,.1222222,6.545455,7.489971,6.180017,1790
"GMB",1,.1475556,8.272727,7.272398,7.293018,1440
"GTM",0,.17,5.136364,8.294049,4.26268,3999.999
"GUY",0,.0555556,5.886364,7.904704,3.471345,2710
"HKG",0,.2461111,8.136364,10.04975,2.701361,23150.01
"HND",0,.1666667,5.318182,7.68708,4.35799,2180
"HTI",0,.2111111,3.727273,7.146772,4.867535,1270
"IDN",0,.0556,7.590909,8.070906,5.135798,3199.999
"IND",0,.2222,8.272727,7.326,3.884241,1519.293
"JAM",0,.2016667,7.090909,8.188689,4.867535,3600
"KEN",1,.0111111,6.045455,7.056175,4.976734,1160
"LKA",0,.0777778,6.045455,7.731931,4.245634,2280
"MAR",1,.3555556,7.090909,8.042378,4.35927,3110.001
"MDG",1,.2222222,4.454545,6.835185,6.284209,930
"MEX",0,.2555556,7.5,8.943768,4.26268,7660.002
"MLI",1,.1888889,4,6.565265,7.986165,710.0001
"MLT",0,.3944444,7.227273,9.427063,2.791165,12420
"MYS",0,.0255556,7.954545,8.894258,2.873565,7289.998
"NER",1,.1777778,5,6.733402,5.991465,839.9999
"NGA",1,.1111111,5.545455,6.813445,7.602901,910
"NIC",0,.1444445,5.227273,7.544332,5.095589,1890
"NZL",0,.4555556,9.727273,9.756147,2.145931,17260.01
"PAK",0,.3333333,6.045455,7.352441,3.610648,1560
"PAN",0,.1,5.909091,8.836374,5.095589,6880.002
"PER",0,.1111111,5.772727,8.396154,4.26268,4429.998
"PRY",0,.2555556,6.954545,8.207947,4.35799,3670
"SDN",1,.1666667,4,7.306531,4.479607,1490
"SEN",1,.1555556,6,7.402452,5.103883,1640
"SGP",0,.0135556,9.318182,10.14643,2.873565,25500
"SLE",1,.0922222,5.818182,6.253829,6.180017,520.0001
"SLV",0,.15,5,7.948032,4.35799,2830
"TGO",1,.0888889,6.909091,7.222566,6.504288,1370
"TTO",0,.1222222,7.454545,8.76873,4.442651,6430.002
"TUN",1,.3777778,6.454545,8.482602,4.143135,4830.002
"TZA",1,.0666667,6.636364,6.253829,5.634789,520.0001
"UGA",1,.0111111,4.454545,6.966024,5.634789,1060
"URY",0,.3666667,7,9.031214,4.26268,8360
"USA",0,.4222222,10,10.21574,2.70805,27330
"VEN",0,.0888889,7.136364,9.071078,4.35799,8700
"VNM",0,.1777778,6.409091,7.279319,4.941642,1450
"ZAF",1,.3222222,6.863636,8.885994,2.74084,7229.998
"ZAR",1,0,3.5,6.866933,5.480639,960.0001
